Record,Funder,CIF,EntityGeneral,Entity,Type,TypeSpecific,Lat,Long,ProjectTitle,EnBudget,EnSubsidy,ProjectBudget,ProjectSubsidy,Approved,Year
,,,,,,,,,,,,,,,
INNEST/2022/14,AVI,A97616528,ZUMOS VALENCIANOS DEL MEDITERRANEO SA,ZUMOS VALENCIANOS DEL MEDITERRANEO SA,Private for-profit,Big company,39 38 36,0 15 20,FORMULACIONES SOSTENIBLES A PARTIR DE CO2 Y RESIDUOS DE LA INDUSTRIA CÍTRICA VALENCIANA APLICADAS A MATERIALES DE CONSTRUCCIÓN,110118,44047.2,584602.88,423392.5,1,2022
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
INNEST/2021/178,AVI,B98242415,ZIUR COMPOSITES S.L.U.,ZIUR COMPOSITES S.L.U.,Private for-profit,Small company,39 57 03,0 05 44,INTEGRACIÓN Y FABRICACIÓN DE UN PROTOTIPO DEL SISTEMA PROPULSIVO DE HYPERLOOP MEDIANTE UN TURBORREACTOR Y UN TREN DE POTENTICA DE VEHÍCULO ELÉCTRICO (2),208001.86,83200.74,902162.37,627099.65,1,2021
INNEST/2022/258,AVI,B98242415,ZIUR COMPOSITES S.L.U.,ZIUR COMPOSITES S.L.U.,Private for-profit,Small company,39 57 03,0 05 44,INVESTIGACIÓN EN ALMACENAMIENTO DE ALTAS PRESTACIONES PARA MOVILIDAD ELÉCTRICA PESADA DE ALTA POTENCIA,153219.6,91931.76,826725.05,644871.15,1,2022
IMIDCA/2021/55,IVACE,B98242415,ZIUR COMPOSITES S.L.U.,ZIUR COMPOSITES S.L.U.,Private for-profit,Small company,39 57 03,0 05 44,Nuevos cuadros plegables de bicicleta en material compuesto y con insertos metálicos de alta integración a través de un nuevo proceso de fabricación avanzado,102476,40990.4,157001.2,73705.52,1,2021
IMIDCA/2016/31,IVACE,B87252656,ZIMA ROBOTICS SL,ZIMA ROBOTICS SL,Private for-profit,Private for-profit,39 39 20,0 13 32,"Avantport, aplicación de vehículos aéreos no tripulados en sistemas inteligentes para la seguridad y el medio ambiente de infraestructuras portuarias",61625,27731.25,177418,68258.8,1,2016
,,,,,,,,,,,,,,,
INNEST/2021/344,AVI,B98871825,ZELEROS GLOBAL SL,ZELEROS GLOBAL SL,Private for-profit,Small company,39 27 54,0 19 42,INTEGRACIÓN Y FABRICACIÓN DE UN PROTOTIPO DEL SISTEMA PROPULSIVO DE HYPERLOOP MEDIANTE UN TURBORREACTOR Y UN TREN DE POTENTICA DE VEHÍCULO ELÉCTRICO (2),214006,128403.6,902162.37,627099.65,1,2021
INNEST/2022/153,AVI,B98871825,ZELEROS GLOBAL SL,ZELEROS GLOBAL SL,Private for-profit,Small company,39 27 54,0 19 42,INVESTIGACIÓN EN ALMACENAMIENTO DE ALTAS PRESTACIONES PARA MOVILIDAD ELÉCTRICA PESADA DE ALTA POTENCIA,301415.15,180849.09,826725.05,644871.15,1,2022
,,,,,,,,,,,,,,,
IMIDCA/2019/19,IVACE,B98503097,WITRAC COMUNICACIONES INTELIGENTES SL,WITRAC COMUNICACIONES INTELIGENTES SL,Private for-profit,Private for-profit,39 28 23,0 22 04,Desarrollo de un nuevo envase para la optimización de la cadena de suministro con tecnologías de comunicaciones inalambricas de bajo consumo,126263,75757.8,240559,121476.2,1,2019
IMIDCA/2019/40,IVACE,B98503097,WITRAC COMUNICACIONES INTELIGENTES SL,WITRAC COMUNICACIONES INTELIGENTES SL,Private for-profit,Private for-profit,39 28 23,0 22 04,Geo-localización y monitorización en tiempo real de variables críticas de moldes de inyección y estampación en proveedores de producción de Ford España,121324,72794.4,258673,127734,1,2019
IMIDCA/2020/42,IVACE,A46572467,"WINTEX, SA","WINTEX, SA",Private for-profit,Private for-profit,38 50 08,0 30 51,Investigación y desarrollo de nuevos artículos laminados reciclados y reciclables,107498.05,53749.02,264483.85,138442.3,1,2020
INNEST/2021/187,AVI,B40517526,WIMTRUCK SOLUTIONS SOCIEDAD LIMITADA,WIMTRUCK SOLUTIONS SOCIEDAD LIMITADA,Private for-profit,Private for-profit,39 27 45,0 19 42,ARQUITECTURA DE GEMELOS DIGITALES Y SERVICIOS DE APRENDIZAJE AUTOMÁTICO PARA LA PLANIFICACIÓN EN EL TRANSPORTE TERRESTRE DE MERCANCÍAS,100000,60000,530000,400000,1,2021
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
INNEST/2021/146,AVI,A80907397,VODAFONE ESPAÑA SA,VODAFONE ESPAÑA SA,Private for-profit,Private for-profit,39 27 57,0 21 29,5G SMART AND CONNECTED INDUSTRIAL PARK,321829,128731.6,1832047.83,997964.16,1,2021
INNCAD/2021/31,AVI,B12050639,VIVEROS CANOS SL,VIVEROS CANOS SL,Private for-profit,Private for-profit,39 51 18,0 09 21,I+D DE NUEVOS PRODUCTOS ANTIMICROBIANOS BASADOS EN EXTRACTOS NATURALES DE PLANTAS XERÓFITAS PARA PREVENCIÓN DE INFECCIONES NOSOCOMIALES MEDIANTE LIMPIEZA DE SUPERFICIES Y PIEL,164020.29,82010.15,530561.18,274862.17,1,2021
,,,,,,,,,,,,,,,
INNEST/2021/11,AVI,B40529984,VIROMII INNOVATION SOCIEDAD LIMITADA,VIROMII INNOVATION SOCIEDAD LIMITADA,Private for-profit,Private for-profit,39 01 07,0 10 43,RECICLADO BIOLÓGICO DE RESIDUOS PLÁSTICOS DE ALMIDÓN MEDIANTE SI FERMENTACIÓN A ÁCIDO LÁCTICO,90000,54000,571093.28,433149.95,1,2021
INNEST/2022/107,AVI,A98030604,VIELCA INGENIEROS SA,VIELCA INGENIEROS SA,Private for-profit,Small company,39 28 19,0 21 30,FILTRACIÓN DE MICROPLÁSTICOS SEGÚN EL MODELO DE CAPTURA EN ORGANISMOS MARINOS MEDITERRÁNEOS,93307.2,55909.32,536825.4,385328.65,1,2022
IMIDCA/2018/28,IVACE,A98030604,VIELCA INGENIEROS SA,VIELCA INGENIEROS SA,Private for-profit,Small company,39 28 19,0 21 30,"Integración de technologias scanning 3D, BIM, RV y RA para programación, ejecución y simulación de operaciones de mantenimiento de EDARs",157185.76,86452.16,234293.01,113439.69,1,2018
